🔍 Verificando videos antes del entrenamiento...
📂 Directorio de videos: /content/drive/MyDrive/LSB_TAD/data/videos
✅ Directorio encontrado
📹 Videos encontrados: 1448

📋 Verificando cada video:
  ✅ CHUQUISACA.mp4: 111 frames, 600x480, 30.0 fps
  ✅ POTOSÍ.mp4: 100 frames, 600x480, 30.0 fps
  ✅ PANDO.mp4: 88 frames, 600x480, 30.0 fps
  ✅ LITORAL.mp4: 89 frames, 600x480, 30.0 fps
  ✅ DEPARTAMENTOS_DE_BOLIVIA.mp4: 162 frames, 600x480, 30.0 fps
  ✅ CERO.mp4: 59 frames, 1280x720, 30.0 fps
  ✅ UNO.mp4: 54 frames, 1280x720, 30.0 fps
  ✅ DOS.mp4: 63 frames, 1280x720, 30.0 fps
  ✅ TRES.mp4: 60 frames, 1280x720, 30.0 fps
  ✅ CUATRO.mp4: 58 frames, 1280x720, 30.0 fps
  ✅ CINCO.mp4: 53 frames, 1280x720, 30.0 fps
  ✅ SEIS.mp4: 58 frames, 1280x720, 30.0 fps
  ✅ SIETE.mp4: 57 frames, 1280x720, 30.0 fps
  ✅ NUEVE.mp4: 65 frames, 1280x720, 30.0 fps
  ✅ DIEZ.mp4: 74 frames, 1280x720, 30.0 fps
  ✅ ONCE.mp4: 70 frames, 1280x720, 30.0 fps
  ✅ DOCE.mp4: 72 frames, 1280x720, 30.0 fps
  ✅ TRECE.mp4: 65 frames, 1280x720, 30.0 fps
  ✅ CATORCE.mp4: 68 frames, 1280x720, 30.0 fps
  ✅ QUINCE.mp4: 60 frames, 1280x720, 30.0 fps
  ✅ DIECISÉIS.mp4: 79 frames, 1280x720, 30.0 fps
  ✅ DIECISIETE.mp4: 86 frames, 1280x720, 30.0 fps
  ✅ DIECIOCHO.mp4: 87 frames, 1280x720, 30.0 fps
  ✅ DIECINUEVE.mp4: 92 frames, 1280x720, 30.0 fps
  ✅ VEINTE.mp4: 60 frames, 1280x720, 30.0 fps
  ✅ VEINTIUNO.mp4: 54 frames, 1280x720, 30.0 fps
  ✅ VEINTIDÓS.mp4: 58 frames, 1280x720, 30.0 fps
  ✅ VEINTITRÉS.mp4: 65 frames, 1280x720, 30.0 fps
  ✅ VEINTICUATRO.mp4: 62 frames, 1280x720, 30.0 fps
  ✅ VEINTICINCO.mp4: 66 frames, 1280x720, 30.0 fps
  ✅ VEINTISÉIS.mp4: 70 frames, 1280x720, 30.0 fps
  ✅ VEINTISIETE.mp4: 66 frames, 1280x720, 30.0 fps
  ✅ VEINTIOCHO.mp4: 66 frames, 1280x720, 30.0 fps
  ✅ VEINTINUEVE.mp4: 81 frames, 1280x720, 30.0 fps
  ✅ TREINTA.mp4: 67 frames, 1280x720, 30.0 fps
  ✅ CUARENTA.mp4: 59 frames, 1280x720, 30.0 fps
  ✅ CINCUENTA.mp4: 67 frames, 1280x720, 30.0 fps
  ✅ OCHO.mp4: 71 frames, 1280x720, 30.0 fps
  ✅ TIBURÓN.mp4: 65 frames, 1280x720, 30.0 fps
  ✅ BÚHO.mp4: 77 frames, 1280x720, 30.0 fps
  ✅ PAVO_REAL.mp4: 89 frames, 1280x720, 30.0 fps
  ✅ RATÓN.mp4: 84 frames, 1280x720, 30.0 fps
  ✅ ARDILLA.mp4: 84 frames, 1280x720, 30.0 fps
  ✅ RATA.mp4: 79 frames, 1280x720, 30.0 fps
  ✅ SAPO.mp4: 63 frames, 1280x720, 30.0 fps
  ✅ CHIVO.mp4: 92 frames, 1280x720, 30.0 fps
  ✅ PALOMA.mp4: 93 frames, 1280x720, 30.0 fps
  ✅ ELEFANTE.mp4: 67 frames, 1280x720, 30.0 fps
  ✅ AVES.mp4: 87 frames, 1280x720, 30.0 fps
  ✅ RINOCERONTE.mp4: 74 frames, 1280x720, 30.0 fps
  ✅ LAGARTIJA.mp4: 76 frames, 1280x720, 30.0 fps
  ✅ BOA.mp4: 115 frames, 1280x720, 30.0 fps
  ✅ JIRAFA.mp4: 77 frames, 1280x720, 30.0 fps
  ✅ MARIPOSA.mp4: 89 frames, 1280x720, 30.0 fps
  ✅ LEÓN.mp4: 78 frames, 1280x720, 30.0 fps
  ✅ LEOPARDO.mp4: 69 frames, 1280x720, 30.0 fps
  ✅ MONO.mp4: 86 frames, 1280x720, 30.0 fps
  ✅ BURRO.mp4: 75 frames, 1280x720, 30.0 fps
  ✅ RANA.mp4: 119 frames, 1280x720, 30.0 fps
  ✅ ARAÑA.mp4: 79 frames, 1280x720, 30.0 fps
  ✅ DELFÍN.mp4: 85 frames, 1280x720, 30.0 fps
  ✅ ADVERBIOS_DE_LUGAR.mp4: 167 frames, 1280x720, 30.0 fps
  ✅ ATRÁS.mp4: 95 frames, 1280x720, 30.0 fps
  ✅ DETRÁS.mp4: 122 frames, 1280x720, 30.0 fps
  ✅ DENTRO.mp4: 113 frames, 1280x720, 30.0 fps
  ✅ FUERA.mp4: 110 frames, 1280x720, 30.0 fps
  ✅ DELANTE.mp4: 100 frames, 1280x720, 30.0 fps
  ✅ AL_LADO.mp4: 94 frames, 1280x720, 30.0 fps
  ✅ ENFRENTE.mp4: 91 frames, 1280x720, 30.0 fps
